index	label	cortex
1	HIP-head-m-rh	False
2	HIP-head-l-rh	False
3	HIP-body-rh	False
4	HIP-tail-rh	False
5	THA-VPm-rh	False
6	THA-VPl-rh	False
7	THA-VAi-rh	False
8	THA-VAs-rh	False
9	THA-DAm-rh	False
10	THA-DAl-rh	False
11	PUT-VA-rh	False
12	PUT-DA-rh	False
13	PUT-VP-rh	False
14	PUT-DP-rh	False
15	CAU-VA-rh	False
16	CAU-DA-rh	False
17	CAU-body-rh	False
18	CAU-tail-rh	False
19	lAMY-rh	False
20	mAMY-rh	False
21	THA-DP-rh	False
22	NAc-shell-rh	False
23	NAc-core-rh	False
24	pGP-rh	False
25	aGP-rh	False
26	HIP-head-m-lh	False
27	HIP-head-l-lh	False
28	HIP-body-lh	False
29	HIP-tail-lh	False
30	THA-VPm-lh	False
31	THA-VPl-lh	False
32	THA-VAi-lh	False
33	THA-VAs-lh	False
34	THA-DAm-lh	False
35	THA-DAl-lh	False
36	PUT-VA-lh	False
37	PUT-DA-lh	False
38	PUT-VP-lh	False
39	PUT-DP-lh	False
40	CAU-VA-lh	False
41	CAU-DA-lh	False
42	CAU-body-lh	False
43	CAU-tail-lh	False
44	lAMY-lh	False
45	mAMY-lh	False
46	THA-DP-lh	False
47	NAc-shell-lh	False
48	NAc-core-lh	False
49	pGP-lh	False
50	aGP-lh	False
