index	label	cortex
1	aHIP-rh	False
2	pHIP-rh	False
3	lAMY-rh	False
4	mAMY-rh	False
5	THA-DP-rh	False
6	THA-VP-rh	False
7	THA-VA-rh	False
8	THA-DA-rh	False
9	NAc-shell-rh	False
10	NAc-core-rh	False
11	pGP-rh	False
12	aGP-rh	False
13	aPUT-rh	False
14	pPUT-rh	False
15	aCAU-rh	False
16	pCAU-rh	False
17	aHIP-lh	False
18	pHIP-lh	False
19	lAMY-lh	False
20	mAMY-lh	False
21	THA-DP-lh	False
22	THA-VP-lh	False
23	THA-VA-lh	False
24	THA-DA-lh	False
25	NAc-shell-lh	False
26	NAc-core-lh	False
27	pGP-lh	False
28	aGP-lh	False
29	aPUT-lh	False
30	pPUT-lh	False
31	aCAU-lh	False
32	pCAU-lh	False
