ROI Label,ROI Name,R,A,S
169,R_FOP5_ROI,37,26,6
170,R_p10p_ROI,27,58,7
171,R_p47r_ROI,45,43,0
172,R_TGv_ROI,37,-3,-43
173,R_MBelt_ROI,46,-16,5
174,R_LBelt_ROI,47,-26,11
175,R_A4_ROI,65,-17,7
176,R_STSva_ROI,58,-12,-14
177,R_TE1m_ROI,64,-26,-17
178,R_PI_ROI,46,-4,-13
179,R_a32pr_ROI,9,28,29
180,R_p24_ROI,4,36,18
181,L_V1_ROI,-8,-84,0
182,L_MST_ROI,-40,-66,5
183,L_V6_ROI,-12,-77,28
184,L_V2_ROI,-10,-80,0
185,L_V3_ROI,-15,-81,2
186,L_V4_ROI,-29,-81,-7
187,L_V8_ROI,-30,-69,-18
188,L_4_ROI,-27,-19,51
189,L_3b_ROI,-39,-21,49
190,L_FEF_ROI,-39,-7,51
191,L_PEF_ROI,-44,-1,40
192,L_55b_ROI,-45,1,48
193,L_V3A_ROI,-14,-90,23
194,L_RSC_ROI,-5,-41,16
195,L_POS2_ROI,-8,-70,33
196,L_V7_ROI,-24,-84,23
197,L_IPS1_ROI,-23,-72,36
198,L_FFC_ROI,-41,-57,-21
199,L_V3B_ROI,-26,-84,13
200,L_LO1_ROI,-40,-86,5
201,L_LO2_ROI,-44,-80,-6
202,L_PIT_ROI,-41,-78,-14
203,L_MT_ROI,-46,-70,7
204,L_A1_ROI,-44,-24,10
205,L_PSL_ROI,-58,-45,21
206,L_SFL_ROI,-7,16,63
207,L_PCV_ROI,-5,-48,46
208,L_STV_ROI,-59,-49,13
209,L_7Pm_ROI,-4,-64,47
210,L_7m_ROI,-3,-59,33
211,L_POS1_ROI,-10,-59,12
212,L_23d_ROI,-2,-20,38
213,L_v23ab_ROI,-4,-55,18
214,L_d23ab_ROI,-2,-40,30
215,L_31pv_ROI,-7,-45,32
216,L_5m_ROI,-6,-39,57
217,L_5mv_ROI,-13,-36,47
218,L_23c_ROI,-9,-26,41
219,L_5L_ROI,-12,-46,70
220,L_24dd_ROI,-6,-18,47
221,L_24dv_ROI,-9,-3,43
222,L_7AL_ROI,-17,-53,66
223,L_SCEF_ROI,-5,2,55
224,L_6ma_ROI,-16,2,67
225,L_7Am_ROI,-6,-58,58
226,L_7PL_ROI,-10,-72,51
227,L_7PC_ROI,-34,-52,57
228,L_LIPv_ROI,-27,-55,49
229,L_VIP_ROI,-19,-63,61
230,L_MIP_ROI,-22,-64,43
231,L_1_ROI,-44,-26,54
232,L_2_ROI,-38,-34,47
233,L_3a_ROI,-42,-17,34
234,L_6d_ROI,-32,-13,63
235,L_6mp_ROI,-10,-14,68
236,L_6v_ROI,-57,4,31
237,L_p24pr_ROI,-2,-1,40
238,L_33pr_ROI,-1,12,29
239,L_a24pr_ROI,-3,19,31
240,L_p32pr_ROI,-8,13,37
241,L_a24_ROI,-3,40,0
242,L_d32_ROI,-7,40,25
243,L_8BM_ROI,-4,28,44
