index	label	cortex	subcortex
1	7Networks_LH_Vis_1	True	False
2	7Networks_LH_Vis_2	True	False
3	7Networks_LH_Vis_3	True	False
4	7Networks_LH_Vis_4	True	False
5	7Networks_LH_Vis_5	True	False
6	7Networks_LH_Vis_6	True	False
7	7Networks_LH_Vis_7	True	False
8	7Networks_LH_Vis_8	True	False
9	7Networks_LH_Vis_9	True	False
10	7Networks_LH_Vis_10	True	False
11	7Networks_LH_Vis_11	True	False
12	7Networks_LH_Vis_12	True	False
13	7Networks_LH_Vis_13	True	False
14	7Networks_LH_Vis_14	True	False
15	7Networks_LH_Vis_15	True	False
16	7Networks_LH_Vis_16	True	False
17	7Networks_LH_Vis_17	True	False
18	7Networks_LH_Vis_18	True	False
19	7Networks_LH_Vis_19	True	False
20	7Networks_LH_Vis_20	True	False
21	7Networks_LH_Vis_21	True	False
22	7Networks_LH_Vis_22	True	False
23	7Networks_LH_Vis_23	True	False
24	7Networks_LH_Vis_24	True	False
25	7Networks_LH_Vis_25	True	False
26	7Networks_LH_Vis_26	True	False
27	7Networks_LH_Vis_27	True	False
28	7Networks_LH_Vis_28	True	False
29	7Networks_LH_Vis_29	True	False
30	7Networks_LH_Vis_30	True	False
31	7Networks_LH_Vis_31	True	False
32	7Networks_LH_SomMot_1	True	False
33	7Networks_LH_SomMot_2	True	False
34	7Networks_LH_SomMot_3	True	False
35	7Networks_LH_SomMot_4	True	False
36	7Networks_LH_SomMot_5	True	False
37	7Networks_LH_SomMot_6	True	False
38	7Networks_LH_SomMot_7	True	False
39	7Networks_LH_SomMot_8	True	False
40	7Networks_LH_SomMot_9	True	False
41	7Networks_LH_SomMot_10	True	False
42	7Networks_LH_SomMot_11	True	False
43	7Networks_LH_SomMot_12	True	False
44	7Networks_LH_SomMot_13	True	False
45	7Networks_LH_SomMot_14	True	False
46	7Networks_LH_SomMot_15	True	False
47	7Networks_LH_SomMot_16	True	False
48	7Networks_LH_SomMot_17	True	False
49	7Networks_LH_SomMot_18	True	False
50	7Networks_LH_SomMot_19	True	False
51	7Networks_LH_SomMot_20	True	False
52	7Networks_LH_SomMot_21	True	False
53	7Networks_LH_SomMot_22	True	False
54	7Networks_LH_SomMot_23	True	False
55	7Networks_LH_SomMot_24	True	False
56	7Networks_LH_SomMot_25	True	False
57	7Networks_LH_SomMot_26	True	False
58	7Networks_LH_SomMot_27	True	False
59	7Networks_LH_SomMot_28	True	False
60	7Networks_LH_SomMot_29	True	False
61	7Networks_LH_SomMot_30	True	False
62	7Networks_LH_SomMot_31	True	False
63	7Networks_LH_SomMot_32	True	False
64	7Networks_LH_SomMot_33	True	False
65	7Networks_LH_SomMot_34	True	False
66	7Networks_LH_SomMot_35	True	False
67	7Networks_LH_SomMot_36	True	False
68	7Networks_LH_SomMot_37	True	False
69	7Networks_LH_DorsAttn_Post_1	True	False
70	7Networks_LH_DorsAttn_Post_2	True	False
71	7Networks_LH_DorsAttn_Post_3	True	False
72	7Networks_LH_DorsAttn_Post_4	True	False
73	7Networks_LH_DorsAttn_Post_5	True	False
74	7Networks_LH_DorsAttn_Post_6	True	False
75	7Networks_LH_DorsAttn_Post_7	True	False
76	7Networks_LH_DorsAttn_Post_8	True	False
77	7Networks_LH_DorsAttn_Post_9	True	False
78	7Networks_LH_DorsAttn_Post_10	True	False
79	7Networks_LH_DorsAttn_Post_11	True	False
80	7Networks_LH_DorsAttn_Post_12	True	False
81	7Networks_LH_DorsAttn_Post_13	True	False
82	7Networks_LH_DorsAttn_Post_14	True	False
83	7Networks_LH_DorsAttn_Post_15	True	False
84	7Networks_LH_DorsAttn_Post_16	True	False
85	7Networks_LH_DorsAttn_Post_17	True	False
86	7Networks_LH_DorsAttn_FEF_1	True	False
87	7Networks_LH_DorsAttn_FEF_2	True	False
88	7Networks_LH_DorsAttn_FEF_3	True	False
89	7Networks_LH_DorsAttn_FEF_4	True	False
90	7Networks_LH_DorsAttn_PrCv_1	True	False
91	7Networks_LH_DorsAttn_PrCv_2	True	False
92	7Networks_LH_SalVentAttn_ParOper_1	True	False
93	7Networks_LH_SalVentAttn_ParOper_2	True	False
94	7Networks_LH_SalVentAttn_ParOper_3	True	False
95	7Networks_LH_SalVentAttn_ParOper_4	True	False
96	7Networks_LH_SalVentAttn_TempOcc_1	True	False
97	7Networks_LH_SalVentAttn_FrOperIns_1	True	False
98	7Networks_LH_SalVentAttn_FrOperIns_2	True	False
99	7Networks_LH_SalVentAttn_FrOperIns_3	True	False
100	7Networks_LH_SalVentAttn_FrOperIns_4	True	False
101	7Networks_LH_SalVentAttn_FrOperIns_5	True	False
102	7Networks_LH_SalVentAttn_FrOperIns_6	True	False
103	7Networks_LH_SalVentAttn_FrOperIns_7	True	False
104	7Networks_LH_SalVentAttn_FrOperIns_8	True	False
105	7Networks_LH_SalVentAttn_FrOperIns_9	True	False
106	7Networks_LH_SalVentAttn_PFCl_1	True	False
107	7Networks_LH_SalVentAttn_Med_1	True	False
108	7Networks_LH_SalVentAttn_Med_2	True	False
109	7Networks_LH_SalVentAttn_Med_3	True	False
110	7Networks_LH_SalVentAttn_Med_4	True	False
111	7Networks_LH_SalVentAttn_Med_5	True	False
112	7Networks_LH_SalVentAttn_Med_6	True	False
113	7Networks_LH_SalVentAttn_Med_7	True	False
114	7Networks_LH_Limbic_OFC_1	True	False
115	7Networks_LH_Limbic_OFC_2	True	False
116	7Networks_LH_Limbic_OFC_3	True	False
117	7Networks_LH_Limbic_OFC_4	True	False
118	7Networks_LH_Limbic_OFC_5	True	False
119	7Networks_LH_Limbic_TempPole_1	True	False
120	7Networks_LH_Limbic_TempPole_2	True	False
121	7Networks_LH_Limbic_TempPole_3	True	False
122	7Networks_LH_Limbic_TempPole_4	True	False
123	7Networks_LH_Limbic_TempPole_5	True	False
124	7Networks_LH_Limbic_TempPole_6	True	False
125	7Networks_LH_Limbic_TempPole_7	True	False
126	7Networks_LH_Limbic_TempPole_8	True	False
127	7Networks_LH_Cont_Par_1	True	False
128	7Networks_LH_Cont_Par_2	True	False
129	7Networks_LH_Cont_Par_3	True	False
130	7Networks_LH_Cont_Par_4	True	False
131	7Networks_LH_Cont_Par_5	True	False
132	7Networks_LH_Cont_Par_6	True	False
133	7Networks_LH_Cont_Temp_1	True	False
134	7Networks_LH_Cont_OFC_1	True	False
135	7Networks_LH_Cont_PFCl_1	True	False
136	7Networks_LH_Cont_PFCl_2	True	False
137	7Networks_LH_Cont_PFCl_3	True	False
138	7Networks_LH_Cont_PFCl_4	True	False
139	7Networks_LH_Cont_PFCl_5	True	False
140	7Networks_LH_Cont_PFCl_6	True	False
141	7Networks_LH_Cont_PFCl_7	True	False
142	7Networks_LH_Cont_PFCl_8	True	False
143	7Networks_LH_Cont_PFCv_1	True	False
144	7Networks_LH_Cont_pCun_1	True	False
145	7Networks_LH_Cont_pCun_2	True	False
146	7Networks_LH_Cont_Cing_1	True	False
147	7Networks_LH_Cont_Cing_2	True	False
148	7Networks_LH_Cont_PFCmp_1	True	False
149	7Networks_LH_Default_Temp_1	True	False
150	7Networks_LH_Default_Temp_2	True	False
151	7Networks_LH_Default_Temp_3	True	False
152	7Networks_LH_Default_Temp_4	True	False
153	7Networks_LH_Default_Temp_5	True	False
154	7Networks_LH_Default_Temp_6	True	False
155	7Networks_LH_Default_Temp_7	True	False
156	7Networks_LH_Default_Temp_8	True	False
157	7Networks_LH_Default_Temp_9	True	False
158	7Networks_LH_Default_Temp_10	True	False
159	7Networks_LH_Default_Par_1	True	False
160	7Networks_LH_Default_Par_2	True	False
161	7Networks_LH_Default_Par_3	True	False
162	7Networks_LH_Default_Par_4	True	False
163	7Networks_LH_Default_Par_5	True	False
164	7Networks_LH_Default_Par_6	True	False
165	7Networks_LH_Default_Par_7	True	False
166	7Networks_LH_Default_PFC_1	True	False
167	7Networks_LH_Default_PFC_2	True	False
168	7Networks_LH_Default_PFC_3	True	False
169	7Networks_LH_Default_PFC_4	True	False
170	7Networks_LH_Default_PFC_5	True	False
171	7Networks_LH_Default_PFC_6	True	False
172	7Networks_LH_Default_PFC_7	True	False
173	7Networks_LH_Default_PFC_8	True	False
174	7Networks_LH_Default_PFC_9	True	False
175	7Networks_LH_Default_PFC_10	True	False
176	7Networks_LH_Default_PFC_11	True	False
177	7Networks_LH_Default_PFC_12	True	False
178	7Networks_LH_Default_PFC_13	True	False
179	7Networks_LH_Default_PFC_14	True	False
180	7Networks_LH_Default_PFC_15	True	False
181	7Networks_LH_Default_PFC_16	True	False
182	7Networks_LH_Default_PFC_17	True	False
183	7Networks_LH_Default_PFC_18	True	False
184	7Networks_LH_Default_PFC_19	True	False
185	7Networks_LH_Default_PFC_20	True	False
186	7Networks_LH_Default_PFC_21	True	False
187	7Networks_LH_Default_PFC_22	True	False
188	7Networks_LH_Default_PFC_23	True	False
189	7Networks_LH_Default_PFC_24	True	False
190	7Networks_LH_Default_pCunPCC_1	True	False
191	7Networks_LH_Default_pCunPCC_2	True	False
192	7Networks_LH_Default_pCunPCC_3	True	False
193	7Networks_LH_Default_pCunPCC_4	True	False
194	7Networks_LH_Default_pCunPCC_5	True	False
195	7Networks_LH_Default_pCunPCC_6	True	False
196	7Networks_LH_Default_pCunPCC_7	True	False
197	7Networks_LH_Default_pCunPCC_8	True	False
198	7Networks_LH_Default_pCunPCC_9	True	False
199	7Networks_LH_Default_pCunPCC_10	True	False
200	7Networks_LH_Default_pCunPCC_11	True	False
201	7Networks_RH_Vis_1	True	False
202	7Networks_RH_Vis_2	True	False
203	7Networks_RH_Vis_3	True	False
204	7Networks_RH_Vis_4	True	False
205	7Networks_RH_Vis_5	True	False
206	7Networks_RH_Vis_6	True	False
207	7Networks_RH_Vis_7	True	False
208	7Networks_RH_Vis_8	True	False
209	7Networks_RH_Vis_9	True	False
210	7Networks_RH_Vis_10	True	False
211	7Networks_RH_Vis_11	True	False
212	7Networks_RH_Vis_12	True	False
213	7Networks_RH_Vis_13	True	False
214	7Networks_RH_Vis_14	True	False
215	7Networks_RH_Vis_15	True	False
216	7Networks_RH_Vis_16	True	False
217	7Networks_RH_Vis_17	True	False
218	7Networks_RH_Vis_18	True	False
219	7Networks_RH_Vis_19	True	False
220	7Networks_RH_Vis_20	True	False
221	7Networks_RH_Vis_21	True	False
222	7Networks_RH_Vis_22	True	False
223	7Networks_RH_Vis_23	True	False
224	7Networks_RH_Vis_24	True	False
225	7Networks_RH_Vis_25	True	False
226	7Networks_RH_Vis_26	True	False
227	7Networks_RH_Vis_27	True	False
228	7Networks_RH_Vis_28	True	False
229	7Networks_RH_Vis_29	True	False
230	7Networks_RH_Vis_30	True	False
231	7Networks_RH_SomMot_1	True	False
232	7Networks_RH_SomMot_2	True	False
233	7Networks_RH_SomMot_3	True	False
234	7Networks_RH_SomMot_4	True	False
235	7Networks_RH_SomMot_5	True	False
236	7Networks_RH_SomMot_6	True	False
237	7Networks_RH_SomMot_7	True	False
238	7Networks_RH_SomMot_8	True	False
239	7Networks_RH_SomMot_9	True	False
240	7Networks_RH_SomMot_10	True	False
241	7Networks_RH_SomMot_11	True	False
242	7Networks_RH_SomMot_12	True	False
243	7Networks_RH_SomMot_13	True	False
