index	label	cifti_label	community_yeo	community_mesulam	community_economo	cortex	subcortex
45	Right_7Am	R_7Am_ROI	dorsal attention	heteromodal	association 1	True	False
46	Right_7PL	R_7PL_ROI	dorsal attention	heteromodal	association 1	True	False
47	Right_7PC	R_7PC_ROI	dorsal attention	heteromodal	association 1	True	False
48	Right_LIPv	R_LIPv_ROI	dorsal attention	heteromodal	association 1	True	False
49	Right_VIP	R_VIP_ROI	dorsal attention	heteromodal	association 1	True	False
50	Right_MIP	R_MIP_ROI	dorsal attention	heteromodal	association 1	True	False
51	Right_1	R_1_ROI	somatosensory	paralimbic	sensory 2	True	False
52	Right_2	R_2_ROI	somatosensory	unimodal	sensory 2	True	False
53	Right_3a	R_3a_ROI	somatosensory	paralimbic	sensory 2	True	False
54	Right_6d	R_6d_ROI	somatosensory	paralimbic	motor	True	False
55	Right_6mp	R_6mp_ROI	somatosensory	paralimbic	motor	True	False
56	Right_6v	R_6v_ROI	somatosensory	paralimbic	motor	True	False
57	Right_p24pr	R_p24pr_ROI	ventral attention	idiotypic	limbic	True	False
58	Right_33pr	R_33pr_ROI	frontoparietal	idiotypic	limbic	True	False
59	Right_a24pr	R_a24pr_ROI	ventral attention	idiotypic	limbic	True	False
60	Right_p32pr	R_p32pr_ROI	ventral attention	idiotypic	association 1	True	False
61	Right_a24	R_a24_ROI	default mode	idiotypic	limbic	True	False
62	Right_d32	R_d32_ROI	default mode	heteromodal	association 1	True	False
63	Right_8BM	R_8BM_ROI	frontoparietal	heteromodal	association 1	True	False
64	Right_p32	R_p32_ROI	default mode	idiotypic	sensory 1	True	False
65	Right_10r	R_10r_ROI	default mode	heteromodal	sensory 1	True	False
66	Right_47m	R_47m_ROI	default mode	idiotypic	sensory 1	True	False
67	Right_8Av	R_8Av_ROI	default mode	unimodal	association 1	True	False
68	Right_8Ad	R_8Ad_ROI	default mode	heteromodal	association 1	True	False
69	Right_9m	R_9m_ROI	default mode	heteromodal	association 1	True	False
70	Right_8BL	R_8BL_ROI	default mode	heteromodal	association 1	True	False
71	Right_9p	R_9p_ROI	default mode	heteromodal	association 1	True	False
72	Right_10d	R_10d_ROI	default mode	heteromodal	association 1	True	False
73	Right_8C	R_8C_ROI	frontoparietal	unimodal	association 1	True	False
74	Right_44	R_44_ROI	default mode	unimodal	association 1	True	False
75	Right_45	R_45_ROI	default mode	heteromodal	association 1	True	False
76	Right_47l	R_47l_ROI	default mode	heteromodal	sensory 1	True	False
77	Right_a47r	R_a47r_ROI	default mode	heteromodal	sensory 1	True	False
78	Right_6r	R_6r_ROI	ventral attention	paralimbic	motor	True	False
79	Right_IFJa	R_IFJa_ROI	frontoparietal	unimodal	association 1	True	False
80	Right_IFJp	R_IFJp_ROI	dorsal attention	unimodal	association 1	True	False
81	Right_IFSp	R_IFSp_ROI	frontoparietal	unimodal	association 1	True	False
82	Right_IFSa	R_IFSa_ROI	frontoparietal	heteromodal	association 1	True	False
83	Right_p9-46v	R_p9-46v_ROI	frontoparietal	heteromodal	association 2	True	False
84	Right_46	R_46_ROI	frontoparietal	heteromodal	association 2	True	False
85	Right_a9-46v	R_a9-46v_ROI	frontoparietal	heteromodal	association 2	True	False
86	Right_9-46d	R_9-46d_ROI	frontoparietal	heteromodal	association 2	True	False
87	Right_9a	R_9a_ROI	default mode	heteromodal	association 2	True	False
88	Right_10v	R_10v_ROI	limbic	heteromodal	sensory 1	True	False
89	Right_a10p	R_a10p_ROI	default mode	heteromodal	association 2	True	False
90	Right_10pp	R_10pp_ROI	limbic	heteromodal	association 2	True	False
91	Right_11l	R_11l_ROI	frontoparietal	heteromodal	sensory 1	True	False
92	Right_13l	R_13l_ROI	limbic	idiotypic	sensory 1	True	False
93	Right_OFC	R_OFC_ROI	limbic	idiotypic	sensory 1	True	False
94	Right_47s	R_47s_ROI	default mode	idiotypic	sensory 1	True	False
95	Right_LIPd	R_LIPd_ROI	dorsal attention	heteromodal	association 1	True	False
96	Right_6a	R_6a_ROI	dorsal attention	unimodal	motor	True	False
97	Right_i6-8	R_i6-8_ROI	frontoparietal	unimodal	association 1	True	False
98	Right_s6-8	R_s6-8_ROI	default mode	unimodal	association 1	True	False
99	Right_43	R_43_ROI	ventral attention	unimodal	motor	True	False
100	Right_OP4	R_OP4_ROI	somatosensory	unimodal	sensory 2	True	False
101	Right_OP1	R_OP1_ROI	somatosensory	heteromodal	association 2	True	False
102	Right_OP2-3	R_OP2-3_ROI	somatosensory	heteromodal	insula	True	False
103	Right_52	R_52_ROI	somatosensory	unimodal	insula	True	False
104	Right_RI	R_RI_ROI	somatosensory	unimodal	association 2	True	False
105	Right_PFcm	R_PFcm_ROI	ventral attention	unimodal	association 2	True	False
106	Right_PoI2	R_PoI2_ROI	ventral attention	idiotypic	insula	True	False
107	Right_TA2	R_TA2_ROI	somatosensory	unimodal	association 2	True	False
108	Right_FOP4	R_FOP4_ROI	ventral attention	heteromodal	association 1	True	False
109	Right_MI	R_MI_ROI	ventral attention	idiotypic	insula	True	False
110	Right_Pir	R_Pir_ROI	limbic	idiotypic	insula	True	False
111	Right_AVI	R_AVI_ROI	frontoparietal	idiotypic	sensory 1	True	False
112	Right_AAIC	R_AAIC_ROI	default mode	idiotypic	insula	True	False
113	Right_FOP1	R_FOP1_ROI	ventral attention	heteromodal	motor	True	False
114	Right_FOP3	R_FOP3_ROI	ventral attention	heteromodal	insula	True	False
115	Right_FOP2	R_FOP2_ROI	somatosensory	unimodal	motor	True	False
116	Right_PFt	R_PFt_ROI	dorsal attention	unimodal	association 2	True	False
117	Right_AIP	R_AIP_ROI	dorsal attention	heteromodal	association 1	True	False
118	Right_EC	R_EC_ROI	limbic	idiotypic	limbic	True	False
119	Right_PreS	R_PreS_ROI	default mode	idiotypic	limbic	True	False
120	Right_H	R_H_ROI	limbic	idiotypic	limbic	True	False
121	Right_ProS	R_ProS_ROI	visual	paralimbic	sensory 1	True	False
122	Right_PeEc	R_PeEc_ROI	limbic	idiotypic	limbic	True	False
123	Right_STGa	R_STGa_ROI	default mode	idiotypic	association 2	True	False
124	Right_PBelt	R_PBelt_ROI	somatosensory	unimodal	association 2	True	False
125	Right_A5	R_A5_ROI	somatosensory	unimodal	association 2	True	False
126	Right_PHA1	R_PHA1_ROI	default mode	idiotypic	limbic	True	False
127	Right_PHA3	R_PHA3_ROI	visual	unimodal	association 1	True	False
128	Right_STSda	R_STSda_ROI	default mode	unimodal	association 2	True	False
129	Right_STSdp	R_STSdp_ROI	default mode	unimodal	association 2	True	False
130	Right_STSvp	R_STSvp_ROI	default mode	unimodal	association 1	True	False
131	Right_TGd	R_TGd_ROI	limbic	idiotypic	association 1	True	False
132	Right_TE1a	R_TE1a_ROI	default mode	heteromodal	association 1	True	False
133	Right_TE1p	R_TE1p_ROI	default mode	heteromodal	association 1	True	False
134	Right_TE2a	R_TE2a_ROI	limbic	unimodal	association 1	True	False
135	Right_TF	R_TF_ROI	limbic	unimodal	association 1	True	False
136	Right_TE2p	R_TE2p_ROI	dorsal attention	unimodal	association 1	True	False
137	Right_PHT	R_PHT_ROI	dorsal attention	heteromodal	association 1	True	False
138	Right_PH	R_PH_ROI	dorsal attention	unimodal	association 1	True	False
139	Right_TPOJ1	R_TPOJ1_ROI	somatosensory	heteromodal	association 2	True	False
140	Right_TPOJ2	R_TPOJ2_ROI	dorsal attention	heteromodal	association 2	True	False
141	Right_TPOJ3	R_TPOJ3_ROI	dorsal attention	heteromodal	association 2	True	False
142	Right_DVT	R_DVT_ROI	visual	unimodal	association 1	True	False
143	Right_PGp	R_PGp_ROI	dorsal attention	unimodal	association 2	True	False
144	Right_IP2	R_IP2_ROI	frontoparietal	heteromodal	association 2	True	False
145	Right_IP1	R_IP1_ROI	frontoparietal	heteromodal	association 2	True	False
146	Right_IP0	R_IP0_ROI	dorsal attention	unimodal	association 2	True	False
147	Right_PFop	R_PFop_ROI	ventral attention	heteromodal	association 2	True	False
148	Right_PF	R_PF_ROI	ventral attention	heteromodal	association 2	True	False
149	Right_PFm	R_PFm_ROI	default mode	heteromodal	association 2	True	False
150	Right_PGi	R_PGi_ROI	default mode	heteromodal	association 2	True	False
151	Right_PGs	R_PGs_ROI	default mode	heteromodal	association 2	True	False
152	Right_V6A	R_V6A_ROI	visual	unimodal	association 1	True	False
153	Right_VMV1	R_VMV1_ROI	visual	paralimbic	sensory 1	True	False
154	Right_VMV3	R_VMV3_ROI	visual	unimodal	association 1	True	False
155	Right_PHA2	R_PHA2_ROI	default mode	heteromodal	limbic	True	False
156	Right_V4t	R_V4t_ROI	visual	unimodal	sensory 1	True	False
157	Right_FST	R_FST_ROI	dorsal attention	unimodal	association 1	True	False
158	Right_V3CD	R_V3CD_ROI	visual	unimodal	sensory 1	True	False
159	Right_LO3	R_LO3_ROI	visual	unimodal	sensory 1	True	False
160	Right_VMV2	R_VMV2_ROI	visual	paralimbic	sensory 1	True	False
161	Right_31pd	R_31pd_ROI	default mode	heteromodal	association 1	True	False
162	Right_31a	R_31a_ROI	default mode	heteromodal	association 1	True	False
163	Right_VVC	R_VVC_ROI	visual	unimodal	association 1	True	False
164	Right_25	R_25_ROI	limbic	idiotypic	sensory 1	True	False
165	Right_s32	R_s32_ROI	limbic	idiotypic	sensory 1	True	False
166	Right_pOFC	R_pOFC_ROI	limbic	idiotypic	sensory 1	True	False
167	Right_PoI1	R_PoI1_ROI	ventral attention	idiotypic	insula	True	False
168	Right_Ig	R_Ig_ROI	somatosensory	idiotypic	insula	True	False
169	Right_FOP5	R_FOP5_ROI	ventral attention	heteromodal	association 1	True	False
170	Right_p10p	R_p10p_ROI	default mode	heteromodal	association 2	True	False
171	Right_p47r	R_p47r_ROI	frontoparietal	heteromodal	sensory 1	True	False
172	Right_TGv	R_TGv_ROI	limbic	idiotypic	association 1	True	False
173	Right_MBelt	R_MBelt_ROI	somatosensory	unimodal	sensory 2	True	False
174	Right_LBelt	R_LBelt_ROI	somatosensory	paralimbic	association 2	True	False
175	Right_A4	R_A4_ROI	somatosensory	unimodal	association 2	True	False
176	Right_STSva	R_STSva_ROI	default mode	unimodal	association 1	True	False
177	Right_TE1m	R_TE1m_ROI	default mode	heteromodal	association 1	True	False
178	Right_PI	R_PI_ROI	ventral attention	unimodal	association 2	True	False
