index	label	cortex	subcortex	cerebellum
133	HIP-body-lh	False	True	False
134	HIP-tail-lh	False	True	False
135	THA-VPm-lh	False	True	False
136	THA-VPl-lh	False	True	False
137	THA-VAs-lh	False	True	False
138	THA-DAm-lh	False	True	False
139	THA-DAl-lh	False	True	False
140	PUT-VA-lh	False	True	False
141	PUT-DA-lh	False	True	False
142	PUT-VP-lh	False	True	False
143	PUT-DP-lh	False	True	False
144	CAU-VA-lh	False	True	False
145	CAU-DA-lh	False	True	False
146	CAU-body-lh	False	True	False
147	CAU-tail-lh	False	True	False
148	lAMY-lh	False	True	False
149	mAMY-lh	False	True	False
150	THA-DP-lh	False	True	False
151	NAc-shell-lh	False	True	False
152	NAc-core-lh	False	True	False
153	pGP-lh	False	True	False
154	aGP-lh	False	True	False
155	cerebellum_Region1	False	False	True
156	cerebellum_Region2	False	False	True
157	cerebellum_Region3	False	False	True
158	cerebellum_Region4	False	False	True
159	cerebellum_Region5	False	False	True
160	cerebellum_Region6	False	False	True
161	cerebellum_Region7	False	False	True
162	cerebellum_Region8	False	False	True
163	cerebellum_Region9	False	False	True
164	cerebellum_Region10	False	False	True
