index	label	cortex
1	HIP-rh	False
2	AMY-rh	False
3	pTHA-rh	False
4	aTHA-rh	False
5	NAc-rh	False
6	GP-rh	False
7	PUT-rh	False
8	CAU-rh	False
9	HIP-lh	False
10	AMY-lh	False
11	pTHA-lh	False
12	aTHA-lh	False
13	NAc-lh	False
14	GP-lh	False
15	PUT-lh	False
16	CAU-lh	False
